Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Average_Annual_Percent_Growth
1,Personal Health Care ($),United States,0,United States,,2677.66,2859.286,3004.77,3127.714,3277.5,3421.3,3574.038,3727.782,3901.896,4126.633,4434.664,4766.768,5095.695,5410.804,5725.594,6027.582,6318.461,6565.903,6814.999,5.3
1,Personal Health Care ($),Region,1,New England,,3099.348,3315.193,3502.032,3656.924,3878.44,4047.977,4264.905,4528.439,4688.324,4952.571,5348.133,5814.727,6225.637,6725.875,7126.398,7585.443,8046.577,8421.678,8783.028,6
1,Personal Health Care ($),State,1,New England,Connecticut,3324.2,3526.036,3645.683,3835.131,4088.53,4223.086,4461.315,4712.166,4908.271,5120.091,5502.459,5937.034,6214.958,6823.977,7049.836,7453.851,7837.041,8260.267,8653.569,5.5
1,Personal Health Care ($),State,1,New England,Maine,2510.881,2690.135,2872.434,2972.137,3238.151,3509.145,3771.598,4061.912,4375.293,4656.067,5079.232,5576.396,6079.92,6589.862,7064.614,7376.747,7717.051,8103.146,8520.952,7
1,Personal Health Care ($),State,1,New England,Massachusetts,3315.807,3541.602,3788.971,3962.648,4134.208,4306.709,4513.729,4792.712,4864.948,5148.59,5589.651,6094.183,6555.517,6988.362,7436.293,8002.244,8568.282,8926.237,9277.898,5.9
1,Personal Health Care ($),State,1,New England,New Hampshire,2481.079,2706.212,2792.012,2896.524,3150.051,3366.631,3537.856,3767.099,4037.138,4260.615,4479.975,4821.139,5220.141,5721.695,6210.941,6676.82,7120.123,7469.58,7839.32,6.6
1,Personal Health Care ($),State,1,New England,Rhode Island,2890.896,3174.039,3365.013,3430.028,3736.682,3854.656,4061.305,4295.778,4468.981,4748.875,5093.32,5561.261,5966.291,6487.275,6978.631,7316.152,7658.728,8045.278,8309.082,6
1,Personal Health Care ($),State,1,New England,Vermont,2359.762,2506.613,2651.832,2793.421,3053.912,3184.919,3403.423,3645.166,3960.489,4349.424,4740.796,5196.271,5682.024,6237.107,6635.545,6803.95,7086.333,7357.917,7634.929,6.7
1,Personal Health Care ($),Region,2,Mideast,,3076.821,3296.595,3486.55,3657.17,3839.599,3994.593,4174.77,4343.418,4578.421,4840.38,5193.875,5575.366,5988.136,6346.316,6720.171,7073.502,7398.573,7664.128,7970.37,5.4
1,Personal Health Care ($),State,2,Mideast,Delaware,2878.122,3065.548,3265.494,3503.116,3696.219,3812.443,4097.049,4247.322,4606.141,4822.496,5149.835,5603.586,6196.42,6611.031,7015.535,7349.806,7750.211,8110.549,8479.747,6.2
1,Personal Health Care ($),State,2,Mideast,District of Columbia,4646.992,5138.567,5410.215,5545.715,5645.97,5871.852,5953.651,6179.79,6429.25,6466.912,6709.384,7198.332,7639.153,8296.05,8643.761,9018.849,9475.86,9835.05,10348.851,4.5
1,Personal Health Care ($),State,2,Mideast,Maryland,2777.198,2950.565,3124.725,3292.255,3416.109,3575.827,3716.209,3753.739,3993.348,4247.006,4613.63,4994.136,5388.6,5736.662,6057.635,6534.472,6880.828,7205.072,7491.791,5.7
1,Personal Health Care ($),State,2,Mideast,New Jersey,2972.276,3230.572,3384.428,3590.564,3785.82,3895.049,4071.173,4234.253,4399.699,4752.698,5002.239,5420.312,5692.646,6053.646,6492.895,6802.885,7109.591,7355.881,7582.935,5.3
1,Personal Health Care ($),State,2,Mideast,New York,3201.966,3424.681,3650.279,3837.669,4024.867,4232.894,4404.177,4624.574,4860.241,5089.594,5479.449,5880.094,6362.645,6709.222,7025.871,7416.993,7722.004,7965.629,8341.369,5.5
1,Personal Health Care ($),State,2,Mideast,Pennsylvania,3010.036,3209.176,3372.124,3495.459,3692.522,3796.793,4009.976,4158.512,4429.195,4697.109,5068.049,5387.334,5786.049,6147.995,6589.459,6859.711,7207.273,7482.793,7729.961,5.4
1,Personal Health Care ($),Region,3,Great Lakes,,2655.268,2835,2988.667,3121.066,3279.884,3437.151,3585.692,3720.994,3915.884,4153.402,4476.904,4818.691,5138.821,5454.639,5770.08,6098.123,6408.69,6595.599,6851.65,5.4
1,Personal Health Care ($),State,3,Great Lakes,Illinois,2722.239,2919.479,3060.703,3200.377,3344.464,3486.625,3630.807,3785.326,3940.25,4183.92,4455.687,4786.773,5058.381,5322.631,5656.866,5976.508,6367.515,6520.225,6756.367,5.2
1,Personal Health Care ($),State,3,Great Lakes,Indiana,2532.47,2741.223,2918.075,3005.012,3122.919,3173.16,3394.718,3583.166,3790.099,4012.792,4340.221,4668.761,5028.216,5400.671,5627.663,5984.247,6260.729,6435.448,6666.312,5.5
1,Personal Health Care ($),State,3,Great Lakes,Michigan,2646.651,2788.405,2933.299,3092.297,3282.155,3458.822,3629.368,3692.307,3838.823,4030.039,4273.58,4539.124,4839.386,5137.741,5448.957,5828.15,6136.724,6357.448,6618.374,5.2
1,Personal Health Care ($),State,3,Great Lakes,Ohio,2705.583,2883.2,3046.133,3168.133,3331.187,3532.745,3623.821,3756.717,3971.802,4231.192,4632.223,5055.898,5421.816,5765.647,6073.141,6317.725,6558.464,6775.754,7075.908,5.5
